symbol,date,source,open,close,adj_close,volume,status,note
TQQQ,2026-04-30,tiingo,62.890000,63.540000,63.391916,81042682,ok,ticker=tqqq
TQQQ,2026-05-29,tiingo,84.410000,84.560000,84.362928,67644084,ok,ticker=tqqq
TQQQ,2026-06-30,tiingo,77.240000,81.000000,81.000000,58466178,ok,ticker=tqqq
TQQQ,2026-04-30,stockdata_yfinance,62.889999,,63.540001,81042700,ok,ticker=TQQQ auto_adjust=True
TQQQ,2026-05-29,stockdata_yfinance,84.410004,,84.559998,67644100,ok,ticker=TQQQ auto_adjust=True
TQQQ,2026-06-30,stockdata_yfinance,77.239998,,81.000000,58466200,ok,ticker=TQQQ auto_adjust=True
TMV,2026-04-30,alpaca,38.400000,38.730000,,15720,ok,feed=iex adjustment=raw
TMV,2026-05-29,alpaca,38.360000,38.500000,,22280,ok,feed=iex adjustment=raw
TMV,2026-06-30,alpaca,36.250000,37.100000,,13781,ok,feed=iex adjustment=raw
TMV,2026-04-30,eodhd,38.330000,38.710000,38.462900,614225,ok,ticker=TMV.US
TMV,2026-05-29,eodhd,38.310000,38.400000,38.154900,704747,ok,ticker=TMV.US
TMV,2026-06-30,eodhd,36.230000,37.060000,37.060000,881200,ok,ticker=TMV.US
TMV,2026-04-30,tiingo,38.330000,38.710000,38.461628,614225,ok,ticker=tmv
TMV,2026-05-29,tiingo,38.310000,38.400000,38.153617,704747,ok,ticker=tmv
TMV,2026-06-30,tiingo,36.230000,37.060000,37.060000,881253,ok,ticker=tmv
TMV,2026-04-30,stockdata_yfinance,38.085364,,38.462936,614200,ok,ticker=TMV auto_adjust=True
TMV,2026-05-29,stockdata_yfinance,38.065493,,38.154919,704200,ok,ticker=TMV auto_adjust=True
TMV,2026-06-30,stockdata_yfinance,36.230000,,37.060001,881200,ok,ticker=TMV auto_adjust=True
GDX,2026-04-30,alpaca,88.950000,88.300000,,1102770,ok,feed=iex adjustment=raw
GDX,2026-05-29,alpaca,87.215000,89.390000,,1267715,ok,feed=iex adjustment=raw
GDX,2026-06-30,alpaca,75.510000,75.410000,,1139290,ok,feed=iex adjustment=raw
GDX,2026-04-30,eodhd,88.900000,88.290000,88.290000,23142400,ok,ticker=GDX.US
GDX,2026-05-29,eodhd,87.380000,89.490000,89.490000,22277000,ok,ticker=GDX.US
GDX,2026-06-30,eodhd,75.390000,75.450000,75.450000,16874800,ok,ticker=GDX.US
GDX,2026-04-30,tiingo,88.900000,88.290000,88.290000,23142365,ok,ticker=gdx
GDX,2026-05-29,tiingo,87.380000,89.490000,89.490000,22277041,ok,ticker=gdx
GDX,2026-06-30,tiingo,75.390000,75.450000,75.450000,16874835,ok,ticker=gdx
GDX,2026-04-30,stockdata_yfinance,88.900002,,88.290001,23142400,ok,ticker=GDX auto_adjust=True
GDX,2026-05-29,stockdata_yfinance,87.379997,,89.489998,22277000,ok,ticker=GDX auto_adjust=True
GDX,2026-06-30,stockdata_yfinance,75.389999,,75.449997,16874800,ok,ticker=GDX auto_adjust=True
QLD,2026-04-30,alpaca,80.420000,81.230000,,39162,ok,feed=iex adjustment=raw
QLD,2026-05-29,alpaca,98.500000,98.485000,,31524,ok,feed=iex adjustment=raw
QLD,2026-06-30,alpaca,93.745000,96.780000,,25705,ok,feed=iex adjustment=raw
QLD,2026-04-30,eodhd,80.540000,81.050000,80.995800,4916100,ok,ticker=QLD.US
QLD,2026-05-29,eodhd,98.390000,98.460000,98.394200,4821500,ok,ticker=QLD.US
QLD,2026-06-30,eodhd,93.690000,96.760000,96.760000,3942000,ok,ticker=QLD.US
QLD,2026-04-30,tiingo,80.540000,81.050000,80.995581,4916108,ok,ticker=qld
QLD,2026-05-29,tiingo,98.390000,98.460000,98.393892,4821467,ok,ticker=qld
QLD,2026-06-30,tiingo,93.690000,96.760000,96.760000,3942048,ok,ticker=qld
QLD,2026-04-30,stockdata_yfinance,80.486143,,80.995804,4916100,ok,ticker=QLD auto_adjust=True
QLD,2026-05-29,stockdata_yfinance,98.324205,,98.394157,4821500,ok,ticker=QLD auto_adjust=True
QLD,2026-06-30,stockdata_yfinance,93.690002,,96.760002,3942000,ok,ticker=QLD auto_adjust=True
TMF,2026-04-30,alpaca,35.120000,34.800000,,77515,ok,feed=iex adjustment=raw
TMF,2026-05-29,alpaca,35.055000,34.960000,,118776,ok,feed=iex adjustment=raw
TMF,2026-06-30,alpaca,36.420000,35.520000,,230925,ok,feed=iex adjustment=raw
TMF,2026-04-30,eodhd,35.150000,34.820000,34.462700,3777900,ok,ticker=TMF.US
TMF,2026-05-29,eodhd,35.040000,34.940000,34.581500,3437900,ok,ticker=TMF.US
